name,website,type,map-layer,for-sale,wholesale,csa,free,garden-space,garden-supply,farming-education,advocacy,farming-research,inprogress,adopted,education,mapping,research,policy,fundraising,affordability,food-culture,coll-dist,leadership,math-science-humanities,entrepreneur,job,economic,community,groups
"California Department of Public Health, Nutrition Education and Obesity Prevention Branch Test",https://www.cdph.ca.gov/programs/NEOPB/Pages/Default.aspx,Governmental Agency,?,,,,,,,,,,,,x,,x,x,,,x,,,,,,,,Individuals and Families
"Los Angeles Regional Food Bank, Brown Bag Program",https://www.lafoodbank.org/get-help/programs-services/senior-nutrition-programs/,Non-Profit Organization,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,Seniors
"Los Angeles Regional Food Bank, Commodity Supplemental Food Program",https://www.lafoodbank.org/get-help/programs-services/senior-nutrition-programs/,Non-Profit Organization,?,,,,x,,,,,,,,,,,,,,,,,,,,,,Seniors
Seniors Farmers' Market Nutrition Program,https://www.cdfa.ca.gov/seniorfarmersmrktnutritionprgm/,Subsidy,Y,,,,,,,,,,,x,,,,,,,,,,,,,,,Seniors
"Women, Infants & Children Farmers' Market Nutrition Program",http://www.cdph.ca.gov/programs/wicworks/pages/farmers'market-programoverview.aspx,Subsidy,Y,,,,,,,,,,,x,,,,,,,,,,,,,,,WIC
"Women, Infants & Children Fruit and Vegetable Checks",http://www.cdph.ca.gov/programs/wicworks/pages/farmers'market-programoverview.aspx,Subsidy,Y,,,,,,,,,,,x,,,,,,,,,,,,,,,WIC
"California Department of Education, Commodity Supplemental Food Program",http://www.cde.ca.gov/ls/nu/fd/csfp.asp,Governmental Agency,?,,,,,,,,,,,x,,,,,,,,,,,,,,,WIC; Senior
"American Friends Service Committee, Roots for Peace: Building Healthy Communities program",http://www.afsc.org/office/los-angeles-ca,"Non-Profit Organization, Religious",?,,,,,x,,x,,,,,,,,,,,,,x,,,,,,Youth
"Community Services Unlimited, From the Ground Up",http://csuinc.org/programs/from-the-ground-up/,Non-Profit Organization,Y,,,,,,,x,,,,,,,,,,,,,x,,x,,,,Youth
"Community Services Unlimited, Growing Healthy",http://csuinc.org/programs/growing-healthy/,Non-Profit Organization,Y,,,,,,,x,,x,,,x,,x,,,,x,,x,,,,,,Youth
"Los Angeles Conservation Corps, Clean & Green",http://lacorps.org/programs/clean-green/,Non-Profit Organization,?,,,,,,,x,,,,,,,,,,,,,x,,,x,,,Youth
"Los Angeles Conservation Corps, Little Green Fingers",http://lacorps.org/programs/little-green-fingers/,Non-Profit Organization,Y,,,,,,,x,,,,,,,,,,,,,,,,,,,Youth
"Los Angeles Conservation Corps, Young Adult Corps Land Management Pat",http://lacorps.org/land-management/,Non-Profit Organization,?,,,,,,,,,,,,,,,,,,,,x,,,x,,,Youth
"Los Angeles Food Policy Council, School Garden Working Group",http://goodfoodla.org/policymaking/working-groups-2/school-garden-working-group/,Non-Profit Organization,Y,,,,,,,,,,,,x,,,x,,,,,,,,,,,Youth
